# epoch 0  H=7.9971 C=8.0032 HO=-0.0060  A(t)=0
         1  ..k....-......>.  fffe6b0c80d5fc2dc2eceabdf0d63ecb
         1  .........,.D....  fffdb51ea0ec06bbbe2cb044c502f8cb
         1  ...............Q  fffdb50bbde3b0b0b811a28a1ce10251
         1  ....T...........  fffbf59e54e40701feb6dd06f2c1f3be
         1  ...i..N.......+>  fff8af69c7f14e89b59f8f11a3db2b3e
         1  ..>....J....g.$.  fff83e01a2d7154ae500c31867a324ab
         1  ..5..G.#!..}.j?*  fff835b1f64717232195bb7da76a3f2a
         1  ..._y.......1...  fff7d8207903bc951d8c899e31df0380
         1  ..."';..BEg.g..E  fff6b422273b03e9424567ba67eb1c45
         1  ...6u...,.P.#.fU  fff6803675d7edc82cd5508e23bf6655
# epoch 20  H=7.9958 C=7.9554 HO=0.0404  A(t)=0
        82  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        40  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        37  ................  98989898989898989898989898989898
        37  jjjjjjjjjjjjjjjj  6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a
        31  QQQQQQQQQQQQQQQQ  51515151515151515151515151515151
        30  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        20  ................  edededededededededededededededed
        15  ................  90909090909090909090909090909090
        10  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        10  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
# epoch 40  H=7.9945 C=7.8784 HO=0.1161  A(t)=0
        80  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        47  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
        46  ................  07070707070707070707070707070707
        45  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        40  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        39  jjjjjjjjjjjjjjjj  6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a
        38  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        38  ................  01010101010101010101010101010101
        37  ................  98989898989898989898989898989898
        37  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
# epoch 60  H=7.9930 C=7.8425 HO=0.1505  A(t)=0
        80  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        68  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
        47  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
        46  ................  07070707070707070707070707070707
        45  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        40  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
        40  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        38  jjjjjjjjjjjjjjjj  6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a
        38  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        38  ................  01010101010101010101010101010101
# epoch 80  H=7.9926 C=7.8340 HO=0.1586  A(t)=0
        80  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        64  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
        45  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        45  ................  07070707070707070707070707070707
        39  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
        38  jjjjjjjjjjjjjjjj  6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a
        38  ................  01010101010101010101010101010101
