# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
         1  ..Ss.9w..6..i6.9  fffe5373ae39778c0336fe936936a239
         1  ..o".{!...R..-.b  fffd6f22c87b21cbc1b652af842ddc62
         1  ..J&.A]..3..vjF.  fffd4a26e1415df18f33f31b766a46b0
         1  ..;M.W...Q..b#9.  fffd3b4d9857bcf81251daaf62233989
         1  ...x;.1S._k.7...  fffc06783b993153f35f6b8937af85c1
         1  ....._H...._L.V~  fffaa1088820488a1bc0045f4c9e567e
         1  ....O..6uD.|..f_  fff9eefc4f8318367544177cf817665f
         1  ...:.M+..:*w.TF.  fff9833ac34d2bf7fd3a2a77f25446ec
         1  ....Y.PT#......S  fff88f0d591050542309b0a8a5ae1e53
# epoch 250  H=7.9729 C=7.8960 HO=0.0585  A(t)=0
        67  ................  17171717171717171717171717171717
        46  ................  01010101010101010101010101010101
        29  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        15  QQQQQQQQQQQQQQQQ  51515151515151515151515151515151
        10  ................  fafafafafafafafafafafafafafafafa
         5  ................  16161616161616161616161616161616
         3  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
         2  ................  c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
         1  ................  ffffffffffff0001ffffff0000ff0000
         1  .............d..  fffffffffffefffeffffffffff64ffff
# epoch 500  H=7.9425 C=7.8193 HO=0.2050  A(t)=0
        95  ................  94949494949494949494949494949494
        63  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
         8  ................  dadadadadadadadadadadadadadadada
         8  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
         6  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
         5  ................  17171717171717171717171717171717
         2  .*.x....yq..f...  d22a8578cb1409e27971b7ec66dd9619
         2  ..*.x....yq..f..  d1d22a8578cb1409e27971b7ec66dd96
         2  .x....yq..f...T.  8578cb1409e27971b7ec66dd9619541d
         2  *.x....yq..f...T  2a8578cb1409e27971b7ec66dd961954
# epoch 750  H=7.8826 C=7.7478 HO=0.3130  A(t)=0
        42  ................  01010101010101010101010101010101
        26  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
         3  ,...............  2c010101010101010101010101010101
         3  .,..............  012c0101010101010101010101010101
         3  ...............,  0101010101010101010101010101012c
         2  ..,.............  01012c01010101010101010101010101
         2  ...,............  0101012c010101010101010101010101
         2  .....,..........  01010101012c01010101010101010101
         2  ......,.........  0101010101012c010101010101010101
         2  .......,........  010101010101012c0101010101010101
# epoch 1000  H=7.8232 C=7.6177 HO=0.4112  A(t)=0
       249  ................  01010101010101010101010101010101
       185  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
        79  ................  00000000000000000000000000000000
        19  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
         9  ................  bfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbf
         9  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
         4  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
         4  ...............,  0101010101010101010101010101012c
         2  ................  97979797979797979797979797979797
         2  }...............  7d010101010101010101010101010101
# epoch 1250  H=7.7451 C=7.5293 HO=0.4524  A(t)=1
       479  ................  01010101010101010101010101010101
       164  ................  00000000000000000000000000000000
        23  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
         7  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
         2  ................  81010101010101010101010101010101
         2  v...............  76010101010101010101010101010101
         2  efghijklmnopqrst  65666768696a6b6c6d6e6f7071727374
         2  ................  05010101010101010101010101010101
         2  ................  02020101010101010101010101010101
