# epoch 0  H=7.9973 C=8.0032 HO=-0.0032  A(t)=0
         1  ..$.f...sh..xz..  ffff24a4660cb68b736806b8787ad8fe
         1  ....X........w..  fffecfcf5811a518a39feca2ab77f0d0
         1  ..%..^0..._.|e..  fffb2594e75e301bc5de5fd47c65f3c3
         1  ..c.....Gw#.....  fff8639f080b0ca14777239f879f099d
         1  ...C.........~..  fff8124395ddeacc8feed1d0157ec4a6
         1  ..NS.F&......;+l  fff44e53ba462601bad98dffbd3b2b6c
         1  ......T...JP\p..  fff3ce95d217549e91ec4a505c7005c4
         1  ....G>..|.u'>a.E  fff399c2473ec6b07c0d75273e61d045
         1  ..j;~yB......V.d  fff16a3b7e7942fab1031aa4cc568a64
         1  ......w.q..2]lk.  ffef1cbd99d377a971e0b7325d6c6bf4
# epoch 20  H=7.9963 C=7.9650 HO=-0.0042  A(t)=0
        48  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        46  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        45  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        38  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        35  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        28  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        26  ................  11111111111111111111111111111111
         4  ................  00000000000000000000000000000000
         2  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
# epoch 40  H=7.9949 C=7.9353 HO=-0.0056  A(t)=0
       112  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        77  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        38  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        36  cccccccccccccccc  63636363636363636363636363636363
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
