# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  .......F.....'Ef  fffffda5c71d0c46fd05989185274566
         1  ....8M..._..2..'  fffff48a384d87a6f15fc69832fca727
         1  ...GK..aO._..U.]  fffff0474ba711614fb82013ef558b5d
         1  ....{$...5...=..  ffffd2c87b24c282fa35c5e0913dcffb
         1  ...eq.Q....k..[.  ffffd06571db51bbe3f7976b17e45bb2
         1  .....X..S.......  ffffc1cb0558acae53d599b28de39bf8
         1  ......V.td....VK  ffffbe12fcd456947464d7d3ec0c564b
         1  ....=qG..u.j....  ffffbad53d714796ca75bf6aa3aaa081
         1  ....C..O...G">&.  ffffa9ec43d1a14fa9abb847223e26d2
         1  ....C..DU.......  ffffa90443eb1e4455f7b2a3e0e5f8c5
# epoch 250  H=7.9872 C=7.8790 HO=0.0818  A(t)=0
       214  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       178  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       157  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       120  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
       119  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
       109  ................  09090909090909090909090909090909
       103  ................  02020202020202020202020202020202
        86  ................  d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7
        85  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        79  6666666666666666  36363636363636363636363636363636
# epoch 500  H=7.9650 C=7.8346 HO=0.0785  A(t)=0
       286  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       180  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       125  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       107  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
        86  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        80  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        70  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        66  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        65  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        61  8888888888888888  38383838383838383838383838383838
# epoch 750  H=7.9389 C=7.7798 HO=0.0965  A(t)=0
       322  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       234  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       199  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       160  ................  01010101010101010101010101010101
       113  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       110  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        96  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        90  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
